Centroid_avg_z,Centroid_max_z,Centroid_min_z,ClusterID
0.12852084181281595,-0.47065985916839215,0.0,0
-0.6231718400535486,-0.4706598591683739,0.0,1
0.15610248439550323,0.40675943326014513,0.0,2
-0.3450896040060775,15.01348230374738,0.0,3
1.2604315174485037,1.2374475212578604,0.0,4
1.2632469235588626,0.26998670168855576,0.0,5
0.12439299177104017,-0.47065985916837955,0.0,6
-0.8247387888173614,2.9445437270053434,0.0,7
-1.2015746784262007,-0.47065985916836545,0.0,8
1.2469444091973418,-0.47065985916839226,0.0,9
-1.043572076228957,-0.47065985916838693,0.0,10
1.2441684759305662,-0.4706598591683602,0.0,11
-0.9006452311413418,0.4142840510552063,0.0,12
1.2448858035261594,-0.4706598591683926,0.0,13
1.2441684759305662,-0.4706598591683602,0.0,14
