k,wcss,silhouette
5,892820.576416665,0.533700749710197
10,273783.17629210337,0.5830577420953876
15,137539.20513610885,0.582042457182323
20,127794.64635259517,0.5444029972586016
30,89972.57277405787,0.5599615143248086
50,52803.37636273161,0.6024309260852324
