ClusterID,Centroid_z_score
0,0.6666628666524831
1,0.7663893291264658
2,-2.1425675426479427
3,-0.5327997697628679
4,-1.0524024898259294
5,0.32356118560209335
6,0.03989156594212284
7,-0.6879459729083931
8,-1.4153015599814194
9,-0.437919047565044
10,-0.10810637830309537
11,-1.255417604693856
12,-0.20514558859234594
13,-1.778770127415022
14,-1.9142449304919895
15,0.40568628786366184
16,-0.9824946897843909
17,-0.7894695969837
18,-0.32390770320417744
19,0.5148114851741602
20,0.3576092362029418
21,-1.5207792987867288
22,0.23754940498387478
23,0.5926632408911917
24,-0.8580327250322273
25,-1.5822252303200388
26,-1.625364935758026
27,-0.9265140525569779
28,-1.659186906971994
29,-1.17181786252507
