ClusterID,Centroid_z_score
0,0.629044505133093
1,-1.6767543878055684
2,-1.5967736231594258
3,-0.7377504253729767
4,-1.712947622129792
5,0.16445645481868099
6,-1.6916820650368163
7,-0.928260631260935
8,-0.14305548905528576
9,-1.6276471387626397
10,0.5294612269141994
11,-0.39169001591326236
12,-1.8982213217419341
13,-0.19907761896044418
14,-1.6553180297228294
15,-0.8349400287524412
16,0.5855795643143644
17,-0.1069735573198389
18,-2.142572942141901
19,-0.6880769566492213
20,-1.0041056408922335
21,-0.2608340142722202
22,-0.23345688054369168
23,-0.3244457615336102
24,-0.03187700855525741
25,-0.4499020657414245
26,0.48120145107261747
27,-0.9007812174349481
28,-1.1908849598217106
29,-0.8700314424107986
30,0.7663997893407131
31,-1.545635455691574
32,-0.5173426604397395
33,0.039370961592706095
34,0.4474232607783211
35,-1.6989545231751204
36,-0.6123609185650692
37,-0.804350366380597
38,-1.9744307261072207
39,-0.9772812025935521
40,0.6827268517117814
41,0.39439723364617757
42,-0.07443485095654406
43,-0.5712313743524925
44,-1.4151296924364112
45,-1.0517252592819164
46,-1.1199178691199452
47,0.264731233626883
48,-0.76851745851612
49,-1.7791394446024709
