K,WCSS,SilhouetteScore
5,7257.388923544084,0.5257913860218209
10,2575.7448664859194,0.7446942352326343
15,2622.7234119117934,0.7617517814994349
20,2448.8543516081077,0.7579023656638761
30,1169.0087734618182,0.714804770940823
50,824.3032772491454,0.737951507255669
